run   lumisection evt
300811 425 706100749
299478 124 182589540
299478 125 183104307
300226 166 190416431
300233 56 16713291
300280 315 389480465
300811 340 574393014
299370 292 365748154
299370 325 410598823
300122 587 819766898
300284 656 858791853
300226 336 455820279
300235 4 4206645
300280 282 336408517
299480 16 23074685
299480 133 196057545
300777 413 631592925
300226 271 356511888
300816 32 44805054
299396 54 84509259
299370 154 169710017
300237 63 92699329
300284 533 714954185
299481 52 60843636
300785 772 940546866
299480 353 504179902
300284 96 138500039
300226 313 423575801
300237 223 317825596
300284 39 57270914
299480 365 521461295
300284 629 826274215
300157 714 728717072
300811 390 651902629
300811 283 484578397
299380 189 229711243
299395 71 102599930
299481 107 128868684
300812 2 1202003
300284 339 469172063
300157 115 122421579
300157 400 424394825
300157 794 803456654
299481 68 81151170
300811 176 304619758
300817 56 76673481
300817 470 647982261
299481 160 191052435
301330 251 255201583
299368 146 151257179
299481 392 464485543
299481 536 609253054
299594 195 245773310
299594 196 246692418
300464 146 214098162
299481 1147 1190704182
299481 756 839836261
299597 526 540457463
299593 338 392808496
302031 279 300861906
302240 20 23130030
302494 32 27373761
302494 557 457429306
302228 235 206470505
302485 503 600166849
302485 221 281959174
302225 561 495989602
302485 817 918883014
302228 71 18896562
302228 105 57650539
302494 345 291219175
302042 15 10252637
302042 177 122269648
302042 193 132667824
302485 230 293127307
302240 699 673419193
302263 87 85695753
302240 362 379261682
302240 397 412314907
302240 422 435124450
302031 608 614797346
302262 332 355518340
302263 454 410220613
302263 547 485407670
302240 907 841386153
302240 959 876630528
302262 264 280077705
302263 706 612568592
302262 66 46343245
302262 113 104935352
302262 198 205729693
302262 202 210987272
302262 211 220729905
302262 458 489049565
302263 678 590488588
302263 925 776802724
302277 293 287807317
302277 297 292143041
302263 1043 860592811
302263 658 574422480
302279 35 18668299
302263 691 600717176
302263 875 739959748
302277 28 16366279
302277 351 340722111
302040 165 125535181
302277 78 73305384
302277 109 106215695
302344 449 390140460
302448 187 219765807
302448 993 1084950715
302393 64 76304353
302393 790 825936404
302393 397 443484016
302448 1624 1601919611
302448 1251 1306332656
302448 1531 1529898071
302448 1678 1643748179
302472 503 618146600
302448 1910 1811880065
302448 626 722086951
302031 392 413053585
302031 650 651449417
302472 209 260574287
302448 489 577246936
302448 1332 1372367636
302448 506 595899654
302448 638 734959363
302448 643 740802866
302473 9 8303827
302042 205 140594544
302479 100 96208238
302479 101 97838447
302479 148 168530977
302472 339 426246268
302479 110 111542990
302479 126 136179490
302472 238 299850361
302472 785 919012080
302472 604 728579298
302472 760 894052612
302473 202 197863917
302448 1750 1698090114
302043 60 34639419
302472 134 159504667
302473 92 91187544
302572 205 234566218
302573 256 268966126
302474 118 100799183
302479 269 340946721
302479 46 22721582
302479 186 224716976
302473 155 152926826
302573 184 194744721
302573 877 826415691
302479 179 213891688
302328 305 260582872
302328 401 346965101
302573 189 199717153
302572 210 240358349
302573 235 247083879
302663 476 576350817
302548 56 19922969
302553 107 136018960
302031 465 483388131
302392 114 112175704
302634 474 574769210
302651 74 106118187
302525 319 407288329
302634 301 361718995
302526 298 275928449
302596 594 690805815
302597 19 17581607
302597 350 309953756
302596 115 110579984
302596 533 625410571
302393 141 166372846
302663 293 365342005
302525 293 376472553
302525 307 393785953
302596 120 117678023
302635 293 299615101
302596 774 882324467
302525 652 767217051
302526 224 209979890
302526 306 283039383
302663 375 461394515
302597 601 514281157
302322 366 301063094
302388 289 342714876
302635 857 791581183
302597 377 332911781
302635 977 886974530
302663 659 774632374
302573 122 128575929
302573 157 165834649
302573 1073 979197670
302573 481 487062796
302573 1113 1010557698
302573 372 384222942
302573 1050 960608416
302573 730 704049155
302572 180 206425953
302573 217 228831295
302573 1269 1125164884
302573 78 81569767
302573 1054 964071995
302573 634 622559256
302573 974 903027047
302596 336 395641202
302634 139 146412552
302597 44 41266812
302597 69 63839102
302597 230 208856396
302634 436 528997426
302635 968 880334842
302596 975 1083805876
302635 57 60100024
302635 321 326671554
302635 1043 939665519
302635 1044 940397253
302635 180 187956406
302635 616 592392641
302635 703 665999678
302663 188 240109239
302663 326 404023819
302322 173 131683190
302322 542 443785152
302131 157 127373303
302163 340 311890924
302163 473 430697444
302322 801 635759926
302131 557 493975250
302031 96 109230482
302031 96 109216553
302031 43 49391362
302388 164 186404623
302131 847 721360443
302163 597 538915610
302131 791 679374780
302163 217 195650371
302163 654 585963693
302328 596 516248941
302344 10 8023863
302344 432 376176684
302131 517 459395283
302388 523 602207823
302163 532 482898886
302163 1006 849416433
302392 286 352716926
302393 808 842120792
302131 610 537414033
302388 320 379067437
302042 133 92690233
302042 433 285955113
302042 481 314779980
302344 301 268089757
302337 131 111711127
302388 494 571098506
302328 298 254105711
302388 62 48279878
302392 329 408515640
302337 63 35569278
302031 80 90647718
302163 413 377945614
302473 61 61210100
302344 450 390522473
302388 700 780963600
302388 707 788701968
302225 117 78814590
302240 240 260938082
302494 79 68890846
302494 229 195477285
302225 347 311088382
302494 246 210012150
302240 82 94881032
302042 288 194193466
302225 192 159938202
302240 150 169534621
302225 798 690374752
302228 114 65232227
302229 281 272808455
302485 193 248272329
302225 303 269791417
303885 546 788505795
303885 824 1170656426
303885 1250 1649372738
304200 140 269995542
304200 118 227615428
304738 901 1537896697
304204 392 617340693
304654 426 684700982
304661 92 98315971
304292 348 691682631
304292 385 754368514
304366 821 1379738336
