run	lumisection	evt
304144	1977	2823871759
304447	1485	2177874818
304616	350	552836653
304625	487	743217470
304654	355	572099474
303948	552	892551683
304738	29	51707130
304200	321	594636000
304209	201	303757134
304671	153	214404136
304200	128	246689202
304616	440	701959741
304209	209	317891140
304120	99	190727607
304125	1294	1674794624
304654	105	131543011
303948	295	456972721
304738	1459	2241067471
303838	456	686297215
304778	811	1251831309
304778	274	498007937
304738	338	575082154
304778	642	1046402449
304778	1222	1662626023
304333	1157	1827674259
304777	77	131433451
304738	636	1095131342
304778	657	1065354048
304778	616	1012086073
304333	1274	1967964342
304797	2898	3540631088
304292	626	1143404031
304797	1763	2683970503
304654	418	673891373
303832	261	312362411
303832	383	477327057
303885	1459	1851882388
304797	2634	3374688861
304062	112	97855533
305112	1404	2310776377
305636	837	1470267883
305112	672	1145073309
305207	565	877258766
305248	935	1608838579
305112	1241	2094745818
305059	365	503791960
305336	149	229720773
305590	968	1168620711
305081	756	1279642711
305081	756	1279779407
305188	922	1355016281
305636	1210	2177300470
305064	1586	1963471868
305188	311	528196455
305313	639	1026883920
305336	198	320617457
305112	369	595281049
305081	474	804681518
305064	795	1203430892
305045	337	582347614
305188	303	516406590
305112	1492	2416467226
305237	439	827247752
305314	24	29093821
305341	51	89992420
305341	67	118658470
305188	862	1284149746
305237	58	107655875
305237	949	1787511348
305204	560	916430529
305059	508	716314795
305081	551	934975724
305064	1035	1468620732
305183	181	303764607
305350	1	1325070
305064	1068	1503549234
305064	1006	1438536354
305064	1011	1443838570
305207	698	1094507685
305045	267	468656060
305636	567	961394913
305186	345	562791652
305336	179	285052934
305112	154	178454803
305248	396	711409405
305204	378	641456618
305636	277	441055629
305112	680	1156198799
305186	315	512021330
305247	347	581888078
305204	912	1355214172
305045	98	180374631
305183	39	67133128
305112	1132	1932812856
305081	356	588992223
305188	95	173175246
305059	554	772801574
305188	492	782747910
305204	962	1411139927
305202	224	292405189
305113	9	2352295
305059	447	624464467
305252	396	465377616
305365	280	471994364
305518	929	1518955897
305518	932	1522638249
305406	1329	2141104445
305312	52	89611452
305282	191	252005007
305312	190	341242737
305842	203	234727085
305365	362	605448508
305063	16	20913350
305204	969	1419282906
305186	218	341086941
305081	600	1027771098
305636	906	1604701939
305045	862	1337358123
305586	232	365550711
305366	406	678057019
305351	69	122872614
305248	799	1406691957
305518	6	11898932
305898	313	482023682
305351	86	155602522
305248	167	294945326
305282	168	205911719
305365	46	78605277
305248	631	1126423199
305351	578	926897309
305248	223	396516943
305351	250	445838883
305365	544	890776753
305406	1306	2113671344
305366	703	1060492195
305247	406	691692696
305351	769	1160918774
305518	588	1046493466
305237	1037	1948034324
305406	412	766214836
305237	340	655749838
305636	71	42688845
305586	461	792410282
305902	371	577853545
305377	1359	2377299702
305351	779	1172461795
305311	101	167470367
305898	292	442997986
305365	416	680525826
305252	112	139538441
305351	640	1004956794
305377	91	161563870
305202	301	425709540
305311	30	54003105
305406	567	1045660411
305517	107	195124183
305366	1070	1449122204
305406	489	906453254
305237	411	786114787
305406	592	1088653005
305366	560	884424488
305366	713	1072357230
305636	428	725420420
305589	183	352403705
305405	278	501306781
305282	79	36111638
305377	160	281379143
305313	30	55305588
305406	502	930325222
305313	600	975502532
305516	113	139511598
305516	606	988254218
305252	96	119946590
305586	422	720291490
305252	71	88212385
305377	773	1414164718
305248	292	509732728
305237	122	235371367
305364	101	111922213
305064	1082	1517842582
305045	450	759571738
305204	627	1007158508
305840	1029	1702506225
305814	1804	2901866439
305814	375	574286884
305766	487	857409005
305814	393	607643902
305862	426	686618859
305766	611	1067616743
305840	459	843455272
305821	793	1337967215
305898	240	347459840
305832	170	195236307
305862	466	759764001
305766	895	1597993096
305821	755	1270378897
305821	760	1279387088
305840	716	1273356478
305809	189	279044460
305207	199	282774310
305059	334	458376583
305898	620	1008334546
305766	556	968264520
305862	671	1108411737
305814	1207	2054488387
305814	1557	2580327376
305840	702	1251080011
305188	435	703997496
305208	363	563604181
305207	258	384670527
305188	10	15809673
305045	506	851383101
305248	748	1325562034
305112	1387	2289723163
305112	1259	2118473388
305814	883	1472998071
305766	308	520633493
305814	585	929680968
305898	76	46087745
305898	103	96855217
305636	165	228472428
305237	384	736706404
305350	7	12898737
305064	1451	1855158959
305202	168	194289440
305202	268	369360541
305114	19	21837956
297411	162	239287318
297215	11	17566071
297219	1153	1945207765
297424	98	128663658
297503	212	390054894
297487	41	56188977
297430	83	158052491
297485	86	150450258
297503	669	1219660475
299062	286	471144950
297219	2271	3193029291
297296	75	109950505
297675	337	576547436
297483	96	103806263
297505	127	193404844
297562	16	25420700
297485	193	328871773
297603	138	238529113
297599	64	98343120
297101	251	349850729
297675	419	713097879
299380	89	85267277
299450	45	7896297
300122	700	976758688
300284	197	280987641
300280	131	146337078
301298	842	793205634
300155	424	560649417
300226	386	532083357
300123	243	281812453
300282	15	20896840
300123	299	341128278
300157	227	244411519
300226	249	320340279
300785	1102	1278388457
299480	390	555701988
300806	124	151585654
300806	125	153144957
300817	208	288878831
300389	141	230194288
300238	37	16233494
300237	458	642980221
300122	563	783456078
300155	636	855358336
300282	76	110006066
300238	189	183580839
300375	14	17807465
299370	229	277926872
301298	697	668763672
300233	115	122991117
299593	633	816570820
299480	462	658321006
300237	142	206502654
300785	1157	1330731672
300122	943	1291809494
299480	85	125215435
300123	144	169410904
300237	41	59086261
300806	96	99656006
300400	84	121496020
300155	235	293067843
300400	370	546011216
300401	223	262124014
300817	415	575685367
299370	224	270216826
300155	336	439610703
300237	309	434292767
300464	134	194476038
299396	39	64283310
299481	1105	1153352489
300122	790	1088811511
300155	448	593714337
300401	20	7459765
301391	107	77808626
299480	532	754157858
300785	1049	1226065773
299370	611	781799596
299481	222	265023834
300155	1102	1478308786
301959	617	701172838
301142	440	386049957
301530	16	12516232
300576	784	1156010312
300742	308	470932237
300742	318	488426773
301531	106	79185077
300466	611	760761555
300560	752	829093368
300401	406	481014307
300401	412	487689993
301180	15	12688781
300466	279	372331714
300633	246	377444144
301142	177	171548468
300459	166	236937752
300558	409	574991871
301986	363	309560494
300155	1070	1440494838
300576	584	873003838
300806	179	244553390
301984	80	87255568
300226	379	522294214
301986	317	272360445
300517	537	627485248
301392	619	585483233
301183	127	114424421
300467	139	143235450
300576	117	172589004
300155	767	1031917724
300636	1006	1220121823
300785	160	214798305
301384	400	439605265
300777	419	641832188
300516	90	113870061
300633	104	159528046
301959	717	796466725
300560	455	524416366
300576	58	83391724
300497	140	185319733
301959	464	541737595
301531	145	107434015
300235	73	113364449
301384	151	178207773
300817	45	61958285
301519	143	102179305
300574	42	30948910
301986	37	33723340
300467	516	503405523
300517	528	618292667
300517	451	534481131
300497	43	22709622
300280	102	93020941
300284	151	216756519
299595	66	78344976
299649	304	440628137
299480	501	712419073
300284	613	808028264
300742	255	380127755
301959	681	762816232
301984	266	316644387
301986	329	282433195
300636	1180	1393035799
300636	1190	1402855595
301161	243	198691774
300515	614	984569594
300636	843	1047609337
300459	147	206456312
300636	794	995143158
301694	102	120325976
300560	386	449419294
300785	246	328348665
301987	46	36737313
300576	402	608367848
300239	24	24211556
300785	406	526984198
301283	603	507986309
300517	127	156795451
301391	185	166004424
301531	304	221874562
300636	1073	1287860580
301476	792	584927834
300467	22	22647031
301476	790	583175502
300155	1132	1514927967
300636	563	731432207
301985	297	307351709
301959	701	781700193
300780	203	291528849
301142	835	657155402
300400	589	870064419
300463	82	119452236
300785	958	1136288701
301998	954	824436598
301476	314	244029764
301447	223	202990525
301449	276	213953873
301567	254	247704819
301941	62	40095262
301476	379	292332671
301959	873	937765224
301665	348	292314781
301998	1621	1261844167
301567	324	318118968
301959	1774	1613033008
301664	95	68913963
301912	267	205283027
301472	614	589349290
301448	293	250956869
301959	201	233105965
301448	28	25376291
301959	788	862026294
301397	294	216806430
301912	379	292767764
301914	111	77421744
301941	197	187625962
301397	90	68337668
301987	193	149373736
301987	732	519816315
301397	299	220688208
301392	410	402729012
301461	201	177966488
300777	482	744007192
301323	688	665978587
299593	880	1159622637
300157	730	742594025
300122	91	86288294
300235	159	242898025
300811	273	467879167
300157	25	21035705
301959	907	967573300
301472	659	629195888
301532	413	257431854
301627	353	314668310
301397	52	39963665
301998	1703	1306703216
301472	523	504751952
301530	37	28856354
301447	157	132276971
300284	448	608785961
299480	128	188783458
300123	551	597644737
299595	5	5574999
299597	413	437121692
300123	401	444372815
299478	44	67678558
301323	324	320259410
300123	526	573172414
300238	135	122097639
299480	672	942490199
300401	99	107961680
299395	111	165106730
302492	18	9316720
302448	202	238992946
302479	68	49251826
302131	263	230827233
302388	183	211976289
302393	506	553892602
302263	197	187238672
302328	548	474523866
302448	1721	1676702196
302240	744	711038804
302322	118	78693701
302388	575	656947221
302392	153	170518614
302393	373	418440008
302596	331	389105780
302131	711	618330724
302472	287	362768932
302229	63	64069489
302479	215	266914305
302479	247	310537032
302473	124	122684684
302163	630	565775253
302494	529	439610308
302229	196	195405956
302393	275	314939612
302388	274	324087929
302388	626	711246785
302393	396	442443434
302031	602	609234498
302485	301	378799977
302448	155	177475723
302485	620	723113106
302388	62	49343822
302031	316	339611591
302263	756	651348130
302393	537	585128716
302229	107	108209922
302328	85	43629772
302344	276	247143705
302525	7	9028717
