run	lumisection	evt
301472	719	684679763
301524	88	81278754
300284	511	686899579
300284	513	690095791
299481	352	417976709
299481	847	930846849
301986	145	130719027
300400	127	189556694
299593	358	421415555
301323	820	781553464
301476	324	251147569
300280	494	642360641
301298	176	158332976
301142	363	327477706
299381	45	54507610
299395	132	194324947
301987	1100	733447226
301283	14	10887763
301998	1590	1243850736
300400	80	116652448
300400	224	338421392
300817	167	233265668
301959	164	187582853
301970	121	141254303
300785	306	403867757
299481	166	198165860
301298	201	186569346
300280	491	637637379
301472	762	722454329
301519	162	121802919
301323	343	340452053
300466	530	669051620
300515	29	49671159
299481	776	859691737
301161	250	204407348
301476	13	10477192
301997	59	29082421
301330	97	85925955
301283	662	553544213
300497	63	60430018
301998	947	819599904
301998	800	709160086
300375	31	44547328
300400	103	151115799
300400	580	856359926
299380	210	258843413
299479	49	67350920
300785	314	413277801
301323	707	682854584
301987	65	51200888
299593	792	1037011623
301330	244	248247703
299481	193	229533438
300375	17	22794845
301987	722	513399360
301987	416	312577775
301987	1014	685728473
300280	469	604075829
300514	79	83660423
301998	1038	886204196
300400	152	229551381
300226	228	284097220
301986	121	109787264
299597	395	419230903
301987	279	213934950
300576	726	1073876665
299593	259	279936560
300400	270	405121299
301998	1040	887293105
299369	191	264201075
301323	582	569707487
301397	380	281430565
300157	593	616757548
300576	947	1367839401
300785	534	680325967
301323	936	874358093
299395	12	13819500
300464	239	349712939
301997	87	65816066
301476	445	342586899
301987	446	333194261
300466	328	431994454
300466	330	433802793
301281	137	100469642
300122	422	581562136
299481	673	753232876
302026	31	16014395
302635	2	1301819
302225	121	83526844
302042	406	269414910
302042	484	316608232
302043	91	52237281
302597	18	16923269
302479	203	248586030
302472	107	119907229
302350	3	1748800
302654	135	169048838
302393	524	571811536
302229	430	402463519
302163	345	316567163
302553	120	152385468
302596	398	469998168
302573	229	240778472
302277	125	123686266
302042	337	225840755
302597	712	603832878
302277	119	116839048
302573	978	906035412
302597	647	551326551
302597	563	483359366
302572	227	260382587
302635	692	657059652
302635	848	784466626
302635	1046	941815787
302473	139	137792621
302472	538	656956159
302131	789	678151854
302597	1019	831389071
302225	311	276678969
302448	175	204539839
302448	716	817447190
302485	396	483999126
302479	285	362061058
302337	38	10823235
302448	299	357390508
302525	341	433731598
302635	86	90631719
302573	1080	985108674
302263	867	734899200
302485	86	114310415
302476	7	2488950
302328	56	11910092
302448	433	514247810
302654	296	358808970
302474	293	241066563
302485	235	298992462
302634	361	436617552
302485	193	247458073
302634	196	225531817
302473	291	278534011
302597	722	611436535
302635	13	12777532
302229	185	184997083
302263	515	459286761
302388	697	779899800
302596	479	564762213
302485	584	685996084
302635	518	507264394
302263	562	496480145
302596	508	597317829
302485	44	58493555
302654	193	237755925
302651	33	47302119
302262	248	263064699
302328	497	429814783
302525	376	472415345
302476	156	119205758
302663	71	95232872
302473	74	74315493
302634	256	304236539
302280	1	233587
302476	25	16753705
302474	89	75869840
302031	749	734781996
302388	267	315783680
302634	275	328114024
302634	416	505623859
302472	123	143680960
302663	488	589431508
302525	255	330484342
302163	723	640830016
302651	63	91004444
302485	151	194967001
302485	598	700960568
302573	210	221237892
302277	321	313184837
302473	238	230852174
302573	471	478308553
302473	151	149180926
302277	381	367324625
302042	367	244619732
302596	621	718777802
302472	323	405672440
302596	263	306054044
302474	138	117064629
302474	145	123460861
302263	842	715636112
302526	6	3754825
302573	908	851290964
302225	415	369251630
302392	140	150551920
302663	170	219154741
302388	310	367541475
302573	1225	1096148248
302262	132	128092946
302484	138	190581196
302163	137	113022335
302163	259	237211183
302448	650	747577401
302448	1661	1630266727
302573	181	191989947
302479	107	107914050
302573	525	527357532
302263	143	138816891
302494	458	383379515
302042	253	172227245
302263	627	549352003
302240	280	298968665
302263	897	756025494
302596	767	874916610
302229	199	198446653
302229	221	218030916
302448	523	614442912
302635	713	674438481
302635	846	783161117
302388	621	706425880
302392	383	476254666
302163	703	624859995
302163	476	433374639
302229	449	418602472
302474	69	58659300
302263	373	341843005
302225	595	525261596
302393	334	377209805
302322	277	225733709
302240	406	420190092
302163	1135	935772968
302263	1119	912562289
302485	197	253082846
302597	366	323174619
302165	10	5032034
302263	855	725665067
302393	634	680230058
302159	101	78453018
302572	50	55202085
302163	42	7179680
302263	941	788257091
302163	899	774392796
302031	203	220340588
302472	65	59080665
302448	1258	1312261532
302343	76	75994346
302393	101	119453278
302328	617	533087652
302163	1219	984172618
302228	238	210032054
302393	305	346799194
302494	477	398691428
302635	449	445492258
302635	1003	907577812
302635	1007	910860112
302635	961	874429046
302322	507	415796435
302131	305	268784774
302328	437	378993910
302322	75	39155315
302663	147	191614702
302388	322	380916656
302388	342	404079484
302240	418	431579473
302163	1194	973611893
302344	42	39214756
302322	541	443044750
302322	543	444730917
302663	91	120879040
302651	87	123528264
302663	533	640315138
302597	929	768908943
302322	224	178744812
302228	196	162584914
302651	28	40432048
302572	187	214528815
302573	1207	1082455408
302277	44	34494760
302472	281	354478719
302472	226	283632644
302597	812	681904689
302472	706	836834425
302031	631	635017537
302031	634	637426954
304655	630	928678929
304447	1366	2056279595
304209	209	317891140
304144	316	502257900
303885	206	255009192
303885	210	261697059
303885	344	482762281
303832	393	491528850
303832	420	526721958
304366	272	461042727
304366	275	466254103
304797	1712	2635681024
304144	389	630270667
304125	346	581411797
304333	598	953122972
304447	199	338701168
304333	1157	1827674259
304333	1029	1659109564
304366	775	1303067900
304292	1662	2235914456
304333	1375	2080466979
304366	1679	2422394485
304292	848	1438827902
304292	745	1310908639
304366	1078	1757282473
304562	379	564695449
304333	207	294963605
304292	796	1375151557
304333	569	899460311
304292	1706	2269711469
304292	528	992068673
304333	1274	1967964342
304333	603	962720134
304292	437	845520886
304292	982	1590579186
304333	504	769632609
304292	408	797153724
304333	1000	1619828919
304366	581	966520785
304562	493	781168347
304292	1391	2004289747
304333	567	896546690
304366	1756	2492425165
304366	544	896040908
304366	552	910826139
304366	564	934072439
304447	166	286157918
304292	626	1143404031
304333	1108	1765799145
304333	1128	1791581034
304333	615	985584452
304562	118	137397720
304797	1328	2225931736
304616	180	268286832
304062	112	97855533
304616	556	916318870
304292	709	1262450876
303832	186	199770381
304797	1763	2683970503
304119	117	129881035
304119	117	130150719
303838	706	1032317292
304144	1093	1857555438
304125	1010	1402518337
304125	1711	2023494010
304125	1155	1545198543
303838	977	1360054111
304797	1231	2108611749
303838	687	1005866170
304797	1288	2179247931
304797	1290	2181537018
304125	1268	1651440824
304120	99	190727607
304506	78	135418915
304506	102	175174669
304144	979	1691107377
304169	113	111164685
303885	1656	2026582484
303885	1660	2030334210
304125	1251	1635458458
303832	1132	1280765159
304508	906	1160155854
304797	2634	3374688861
304508	760	1013390654
303948	1647	2204072202
304671	711	1175288117
303885	1862	2189445551
303885	836	1186277335
304508	1020	1268515505
303832	202	223699418
303838	1757	2082229966
304144	786	1387382094
303832	1048	1204495490
303838	1374	1763218006
303948	1119	1667078917
304062	1112	1572510767
303948	1587	2148819412
303885	1046	1434980092
304144	2401	3168997267
303885	1582	1965548973
304062	274	397821517
303838	215	301643419
304169	1482	1939313504
304777	372	622760810
304777	375	627926005
304169	298	452891828
304366	383	627099548
304169	960	1394781029
304125	1026	1419041608
303948	916	1420932840
304366	357	585366431
304616	404	644058209
304125	646	990500536
304333	759	1242533749
303948	295	456972721
304366	196	327405269
303885	1037	1424514823
303948	1551	2115461315
303885	303	418473319
304209	249	395203499
304158	802	1025620259
304354	145	139013400
304506	134	229780373
304209	449	779964635
303832	1701	1732785407
304062	876	1296133510
304125	298	505380648
303885	131	128110163
303948	137	158082289
304125	953	1344024565
304200	128	246689202
304200	128	247624566
304797	2409	3219044145
304616	440	701959741
304366	59	75380050
304158	871	1117579223
304158	635	795726714
304144	102	78752313
304125	1399	1768188512
304209	267	431587102
304209	270	437767305
303885	1562	1947093225
303838	1075	1467745280
304062	235	329702993
304354	131	112463381
303838	456	686297215
304616	371	588971093
304616	565	932522110
304672	24	29838450
304062	722	1092160944
303998	306	489869127
304447	1485	2177874818
304655	223	378205269
303832	1284	1409952249
304671	153	214404136
304144	1826	2688150152
304144	1454	2312025493
303948	1272	1835817677
304125	796	1173240036
304169	569	892462456
304144	560	970486454
303838	473	708922917
304144	406	660879109
304144	393	639157284
304616	613	1020774795
304738	157	276591423
303885	101	76597508
303832	718	875175202
303832	733	891869789
304625	327	476116330
304625	328	478644148
304119	75	50225107
303999	38	67306125
304200	285	533755177
303948	108	105957891
304366	127	201525896
304119	91	80503941
304125	1552	1894160107
304616	350	552836653
304366	309	518325740
304366	319	525812050
303832	383	477327057
304797	756	1378022887
303999	78	140722460
303885	291	398325627
304119	106	110267489
304333	1483	2196046289
304125	1584	1919971566
303999	238	404108393
303885	1465	1857488666
303832	835	999144146
304125	829	1210470357
304120	182	349449092
304062	639	976915683
304158	572	700635963
304209	329	555228537
304797	211	383783112
303832	511	639822976
303832	751	911115375
304366	1739	2476994370
304797	757	1378334408
304125	1294	1674794624
304169	425	665264242
303948	232	340150602
303838	238	339793540
304671	351	559085376
304333	1185	1862787118
304366	347	568862485
304209	76	63451155
304778	811	1251831309
304655	263	440509518
304144	1119	1896481793
304204	282	403546947
304797	786	1430670813
304204	234	317446279
304671	588	949950137
304562	432	660527654
304562	553	901426548
304738	636	1095131342
304738	338	575082154
304778	289	523191775
304447	1138	1806120557
303999	65	116299024
303885	391	556888661
304508	1154	1383157669
304778	25	46589387
304169	485	760924497
304169	512	805660537
304170	527	456035801
304738	1228	1982966977
304655	54	93927499
304170	317	288250149
303999	507	808031546
304671	228	354784313
304625	487	743217470
304508	199	315093819
304654	229	365454203
303948	1570	2132853410
304625	188	231920170
304562	757	1298040234
304626	7	10663090
304655	460	718266021
304447	451	801289980
304169	187	248580273
304169	192	259687769
304738	452	764414696
304125	210	370960513
304654	500	781554407
303832	1653	1696985323
304292	263	537415580
304671	989	1626752231
304654	147	209440436
304562	547	889017217
304778	725	1151180504
304654	252	409057289
303948	552	892551683
304655	688	994276432
304777	77	131433451
304655	372	598840384
304655	38	67594217
304200	84	162170993
304507	222	272717233
304209	201	303757134
304209	344	582447596
303999	429	697252128
304778	1058	1509822155
303948	1529	2095528186
304158	1961	2193429984
304508	354	536273655
304655	604	898904799
304616	416	663752028
304663	617	1057635550
304625	165	190985386
304144	1190	1993921213
304144	1193	1998200116
304144	1022	1752484298
303838	1354	1744670582
303999	185	319964550
303999	164	284644032
304654	418	673891373
304447	380	671881636
304062	1337	1807572992
304169	1084	1532579534
304169	1576	2036681951
304144	2350	3130831281
304778	616	1012086073
304447	1191	1868304895
303838	1466	1844472812
304655	1149	1456435813
304169	246	362845317
304655	559	843499890
303885	1550	1936721072
304663	131	222862974
304506	219	357143969
304447	1180	1855664873
304204	262	361896323
304562	668	1124053172
304654	105	131543011
304506	9	13708342
304778	1222	1662626023
304654	73	66817836
304777	426	713569725
304778	657	1065354048
304508	603	844783840
304169	733	1121366690
304144	2106	2936294094
304158	1021	1309074306
304662	53	76949652
304797	453	817743731
304158	238	152660737
304671	338	536974768
304000	54	59411270
304062	76	33136949
304738	277	469340509
304738	29	51707130
304204	58	14336738
304738	1630	2414411796
304158	1175	1487539079
304738	469	791833622
304447	838	1426186586
304506	74	129151445
304738	559	952888879
303999	651	995230226
303948	889	1384036080
304738	974	1649413986
303832	970	1131600921
304169	1607	2068069623
304671	265	419859132
304169	1178	1632544055
304616	503	816166964
303948	677	1077510995
304292	272	556376185
304738	255	441668890
304125	105	195837343
304663	597	1027862828
304508	149	236709807
303825	28	23430291
303838	769	1114864895
304663	416	740010332
304062	571	877932836
304158	1442	1755309619
303885	587	844922641
303999	552	870952059
304738	1386	2164029848
304366	1132	1828657764
303885	572	822908464
304508	774	1027767710
303885	160	172577155
304777	487	806798420
304508	618	861176068
304333	606	967647993
304507	113	129629320
304158	1680	1969946172
304169	869	1289255299
304125	15	29097463
304170	162	150311304
304663	418	744098202
304200	33	61552469
304778	642	1046402449
304158	192	70283797
304158	1387	1702290285
304144	867	1519004099
304144	972	1679718713
304169	873	1293002754
304738	1257	2017533174
304777	406	680291441
304797	649	1176674016
304663	469	830271846
304654	355	572099474
304738	1045	1747677186
304562	458	712297454
304562	461	717548539
304508	878	1132894677
304655	1140	1448469940
303838	1227	1620689440
304508	628	872706678
304292	1718	2279729314
305064	335	555639657
305237	34	63192401
305112	1404	2310776377
305636	837	1470267883
305059	346	476503941
305112	672	1145073309
305207	565	877258766
305208	141	240417210
305351	44	79088045
305064	1082	1517842582
305840	1029	1702506225
305821	535	905544193
305821	300	489120028
305814	161	178446172
305814	1804	2901866439
305814	375	574286884
305821	90	92549695
305814	846	1407079524
305766	487	857409005
305821	207	317930674
305814	393	607643902
305862	426	686618859
305814	364	555226560
305862	227	310460476
305814	1544	2563073969
305045	450	759571738
305204	627	1007158508
305898	240	347459840
305766	833	1483312723
305814	1537	2552729655
305832	170	195236307
305821	748	1256462196
305862	466	759764001
305862	171	202116103
305766	895	1597993096
305821	755	1270378897
305821	760	1279387088
305840	716	1273356478
305814	143	142869888
305809	189	279044460
305183	71	119051577
305186	65	89283908
305898	620	1008334546
305814	376	576848310
305766	556	968264520
305862	671	1108411737
305814	1207	2054488387
305902	255	379335255
305814	1557	2580327376
305840	702	1251080011
305766	59	28545026
305059	332	455054911
305059	334	458376583
305898	132	149184840
305898	180	236400890
305842	406	448516165
305898	401	637480063
305862	254	361866498
305862	610	1003278883
305636	1587	2758853789
305336	231	382163167
305188	435	703997496
305207	258	384670527
305188	10	15809673
305045	506	851383101
305636	302	488365100
305814	883	1472998071
305766	451	792214028
305766	246	400472936
305766	288	481525762
305766	308	520633493
305821	120	152017091
305821	122	155471175
305814	335	502588227
305814	585	929680968
305898	76	46087745
305898	103	96855217
305248	748	1325562034
305112	1387	2289723163
305081	442	750667400
305112	1259	2118473388
305636	165	228472428
305636	1407	2499335325
305252	403	472229414
305237	384	736706404
305311	133	230403275
305350	7	12898737
305636	1035	1856739942
305046	121	136793349
305081	583	996496840
305202	507	769090178
305202	168	194289440
305202	268	369360541
305114	19	21837956
305248	935	1608838579
305112	1241	2094745818
305059	365	503791960
305188	243	424683463
305188	501	795998869
305112	1229	2076744417
305081	756	1279779407
305188	922	1355016281
305045	303	526644286
305636	1210	2177300470
305046	554	565212528
305064	1586	1963471868
305188	311	528196455
305081	842	1432172156
305248	483	870809773
305313	639	1026883920
305336	198	320617457
305059	301	407075690
305112	369	595281049
305081	474	804681518
305064	795	1203430892
305313	549	906898519
305045	337	582347614
305188	303	516406590
305112	1492	2416467226
305237	439	827247752
305045	693	1120394544
305314	24	29093821
305248	879	1527764524
305341	51	89992420
305341	67	118658470
305341	314	533911526
305341	224	380868411
305204	219	373252097
305237	1089	2033280569
305204	100	167457580
305336	149	229720773
305590	968	1168620711
305204	824	1253486110
305112	1191	2022437460
305188	862	1284149746
305351	5	6692411
305045	399	680574949
305237	58	107655875
305237	949	1787511348
305064	520	842169093
305059	508	716314795
305081	551	934975724
305064	1035	1468620732
305636	2255	3563338167
305183	181	303764607
305112	286	436565925
305350	1	1325070
305202	352	511644476
305064	1068	1503549234
305045	552	923655664
305064	1006	1438536354
305064	1011	1443838570
305207	698	1094507685
305046	529	541939683
305045	267	468656060
305636	567	961394913
305186	345	562791652
305636	952	1699176849
305204	944	1391117512
305336	179	285052934
305064	380	627034158
305081	898	1526205534
305204	378	641456618
305112	1018	1751627074
305188	908	1337796584
305112	680	1156198799
305064	894	1316861865
305247	347	581888078
305248	440	795425112
305081	933	1587724328
305204	912	1355214172
305188	70	126996303
305045	98	180374631
305636	945	1684788339
305183	39	67133128
305248	255	449814222
305112	758	1290771129
305112	1132	1932812856
305636	1501	2639450691
305081	356	588992223
305188	95	173175246
305059	554	772801574
305188	492	782747910
305204	962	1411139927
305202	224	292405189
305112	813	1389572421
305059	225	285082840
305046	299	321044917
305312	24	41712832
305113	9	2352295
305237	167	322985636
305059	447	624464467
305636	1160	2086924167
305252	396	465377616
305112	154	178454803
305248	396	711409405
305237	276	534091668
305365	280	471994364
305518	929	1518955897
305518	932	1522638249
305237	287	556533106
305589	6	10263633
305310	88	82276293
305406	846	1514376492
305406	1329	2141104445
305377	914	1696565896
305377	918	1703006387
305377	920	1707710106
305312	52	89611452
305282	191	252005007
305518	600	1066062031
305377	450	818231427
305441	90	148555561
305312	190	341242737
305842	203	234727085
305365	362	605448508
305358	113	66871107
305237	966	1820173462
305366	1066	1445531366
305063	9	10875533
305063	16	20913350
305207	921	1476870799
305207	923	1479967565
305204	969	1419282906
305186	218	341086941
305636	2073	3366680791
305636	1714	2932252441
305313	293	512400525
305366	303	520570969
305366	860	1237696096
305351	69	122872614
305248	799	1406691957
305518	6	11898932
305358	118	75323635
305898	313	482023682
305351	86	155602522
305862	553	912786832
305248	167	294945326
305341	60	106905619
305341	64	113456702
305517	3	2644806
305282	168	205911719
305590	848	1040002755
305586	383	648065859
