 run  lumi   event
   1  1046  104506
   1  1046  104511
   1  1046  104545
   1  1046  104550
   1  1046  104554
   1  1046  104595
   1  1047  104636
   1  1047  104675
   1  1049  104801
   1  1049  104843
   1  1049  104853
   1  1049  104874
   1  1049  104894
   1  1050  104915
   1  1050  104961
   1  1051  105025
   1  1051  105035
   1  1052  105166
   1  1053  105242
   1  1054  105325
   1  1054  105339
   1  1054  105364
   1  1055  105410
   1  1055  105440
   1  1055  105447
   1  1055  105471
   1  1056  105555
   1  1057  105605
   1  1057  105618
   1  1057  105623
   1  1057  105675
   1  1058  105728
   1  1059  105854
   1  1059  105858
   1  1059  105860
   1  1060  105968
   1  1061  106032
   1  1061  106040
   1  1062  106135
   1  1062  106176
   1  1063  106280
   1  1063  106291
   1  1064  106306
   1  1064  106330
   1  1064  106333
   1  1064  106332
   1  1064  106376
   1  1064  106388
   1  1066  106524
   1  1066  106527
   1  1067  106647
   1  1067  106682
   1  1068  106742
   1  1068  106800
   1  1069  106856
   1  1070  106925
   1  1070  106946
   1  1070  106975
   1  1070  106995
   1  1071  107017
   1  1071  107047
   1  1072  107112
   1  1073  107226
   1  1074  107349
   1  1075  107458
   1  1075  107463
   1  1075  107493
   1  1076  107592
   1  1077  107623
   1  1078  107750
   1  1078  107761
   1  1078  107789
   1  1078  107785
   1  1078  107797
   1  1079  107814
   1  1080  107953
   1  1080  107983
   1  1081  108049
   1  1081  108075
   1  1082  108127
   1  1083  108245
   1  1083  108257
   1  1086  108556
   1  1087  108629
   1  1087  108640
   1  1087  108657
   1  1087  108662
   1  1088  108748
   1  1089  108810
   1  1089  108827
   1  1089  108848
   1  1090  108994
   1  1091  109018
   1  1091  109080
   1  1092  109111
   1  1092  109198
   1  1093  109262
   1  1093  109285
   1  1094  109313
   1  1094  109308
   1  1094  109343
   1  1095  109427
   1  1096  109532
   1  1096  109526
   1  1096  109554
   1  1097  109642
   1  1097  109639
   1  1097  109654
   1  1098  109723
   1  1099  109885
   1  1100  109968
   1  1101  110015
   1  1103  110248
   1  1103  110290
   1  1104  110309
   1  1104  110356
   1  1105  110406
   1  1106  110536
   1  1107  110646
   1  1107  110658
   1  1107  110664
   1  1107  110680
   1  1107  110673
   1  1107  110687
   1  1107  110700
   1  1107  110685
   1  1108  110771
   1  1109  110866
   1  1109  110888
   1  1109  110855
   1  1111  111071
   1  1111  111092
   1  1113  111211
   1  1114  111377
   1  1115  111500
   1  1116  111570
   1  1117  111659
   1  1119  111837
   1  1120  111920
   1  1121  112040
   1  1122  112117
   1  1123  112293
   1  1124  112400
   1  1125  112447
   1  1125  112453
   1  1126  112509
   1  1126  112581
   1  1126  112565
   1  1126  112591
   1  1127  112625
   1  1127  112640
   1  1127  112666
   1  1127  112684
   1  1128  112705
   1  1128  112768
   1  1128  112778
   1  1129  112893
   1  1130  112904
   1  1130  112959
   1  1131  113061
   1  1131  113082
   1  1132  113124
   1  1132  113189
   1  1133  113249
   1  1134  113331
   1  1134  113392
   1  1135  113430
   1  1135  113496
   1  1136  113570
   1  1137  113616
   1  1137  113638
   1  1137  113670
   1  1137  113692
   1  1138  113721
   1  1138  113725
   1  1139  113848
   1  1140  113928
   1  1140  113942
   1  1140  113975
   1  1141  114063
   1  1142  114163
   1  1143  114215
   1  1143  114224
   1  1143  114270
   1  1146  114510
   1  1146  114533
   1  1146  114593
   1  1147  114604
   1  1148  114712
   1  1148  114723
   1  1148  114797
   1  1148  114799
   1  1149  114874
   1  1149  114892
   1  1150  114903
   1  1150  114990
   1  1151  115014
   1  1151  115090
   1  1152  115136
   1  1152  115154
   1  1153  115224
   1  1153  115230
   1  1153  115292
   1  1154  115332
   1  1154  115392
   1  1155  115411
   1  1155  115438
   1  1157  115611
   1  1157  115626
   1  1157  115695
   1  1158  115754
   1  1158  115781
   1  1159  115814
   1  1159  115862
   1  1159  115857
   1  1159  115893
   1  1160  115937
   1  1160  115951
   1  1160  115970
   1  1160  115998
   1  1161  116028
   1  1161  116063
   1  1163  116229
   1  1163  116277
   1  1163  116272
   1  1164  116391
   1  1165  116500
   1  1166  116511
   1  1167  116621
   1  1167  116618
   1  1167  116684
   1  1168  116718
   1  1168  116730
   1  1168  116770
   1  1168  116791
   1  1169  116867
   1  1169  116900
   1  1170  116945
   1  1170  116961
   1  1171  117008
   1  1172  117130
   1  1172  117157
   1  1172  117196
   1  1173  117234
   1  1174  117309
   1  1174  117375
   1  1176  117510
   1  1176  117591
   1  1177  117696
   1  1179  117876
   1  1180  117928
   1  1180  117970
   1  1181  118029
   1  1182  118197
   1  1183  118239
   1  1183  118255
   1  1183  118300
   1  1184  118362
   1  1184  118387
   1  1185  118489
   1  1186  118549
   1  1187  118623
   1  1188  118703
   1  1188  118768
   1  1188  118784
   1  1188  118794
   1  1191  119026
   1  1191  119053
   1  1191  119060
   1  1191  119077
   1  1191  119059
   1  1192  119106
   1  1192  119158
   1  1192  119175
   1  1193  119250
   1  1195  119408
   1  1195  119430
   1  1196  119515
   1  1196  119575
   1  1196  119596
   1  1197  119643
   1  1198  119798
   1  1199  119839
   1  1199  119845
   1  1199  119847
   1  1199  119876
   1  1200  119923
   1  1201  120016
   1  1201  120021
   1  1201  120076
   1  1201  120065
   1  1202  120168
   1  1202  120195
   1  1203  120218
   1  1203  120237
   1  1203  120271
   1  1204  120345
   1  1204  120365
   1  1204  120398
   1  1204  120388
   1  1205  120414
   1  1205  120472
   1  1205  120494
   1  1206  120571
   1  1206  120562
   1  1207  120613
   1  1207  120617
   1  1207  120639
   1  1207  120649
   1  1208  120748
   1  1209  120834
   1  1209  120832
   1  1209  120891
   1  1210  120977
   1  1211  121010
   1  1213  121241
   1  1215  121467
   1  1215  121488
   1  1217  121610
   1  1217  121617
   1  1217  121640
   1  1217  121635
   1  1217  121684
   1  1218  121800
   1  1219  121809
   1  1221  122032
   1  1223  122258
   1  1224  122315
   1  1224  122351
   1  1225  122431
   1  1227  122601
   1  1227  122640
   1  1227  122699
   1  1228  122721
   1  1229  122841
   1  1229  122853
   1  1230  122916
   1  1230  122938
   1  1230  122971
   1  1230  122979
   1  1231  123041
   1  1231  123065
   1  1231  123083
   1  1232  123125
   1  1232  123159
   1  1233  123208
   1  1233  123231
   1  1233  123280
   1  1234  123315
   1  1234  123351
   1  1234  123324
   1  1234  123387
   1  1235  123408
   1  1235  123433
   1  1236  123540
   1  1236  123525
   1  1236  123539
   1  1236  123577
   1  1237  123613
   1  1237  123620
   1  1237  123683
   1  1238  123745
   1  1239  123813
   1  1239  123866
   1  1239  123880
   1  1240  123904
   1  1240  123907
   1  1240  123958
   1  1240  123933
   1  1241  124090
   1  1242  124113
   1  1242  124112
   1  1242  124131
   1  1242  124140
   1  1243  124224
   1  1243  124217
   1  1243  124215
   1  1244  124315
   1  1244  124394
   1  1245  124480
   1  1245  124470
   1  1246  124504
   1  1246  124541
   1  1246  124555
   1  1246  124599
   1  1248  124728
   1  1248  124733
   1  1249  124801
   1  1249  124804
   1  1249  124846
   1  1250  124919
   1  1250  124925
   1  1250  124932
   1  1250  124959
   1  1251  125015
   1  1251  125019
   1  1251  125027
   1  1251  125084
   1  1252  125105
   1  1252  125124
   1  1252  125111
   1  1252  125163
   1  1253  125210
   1  1253  125217
   1  1253  125226
   1  1256  125556
   1  1257  125601
   1  1257  125691
   1  1257  125695
   1  1257  125699
   1  1258  125724
   1  1258  125767
   1  1258  125780
   1  1259  125851
   1  1259  125879
   1  1260  125943
   1  1263  126286
   1  1264  126389
   1  1265  126418
   1  1265  126426
   1  1267  126612
   1  1267  126649
   1  1267  126672
   1  1268  126755
   1  1269  126849
   1  1270  126969
   1  1271  127054
   1  1273  127263
   1  1273  127253
   1  1274  127313
   1  1274  127367
   1  1274  127373
   1  1275  127448
   1  1276  127504
   1  1276  127506
   1  1276  127534
   1  1276  127553
   1  1276  127578
   1  1278  127716
   1  1278  127773
   1  1278  127800
   1  1279  127890
   1  1280  127920
   1  1280  127944
   1  1280  127968
   1  1281  128008
   1  1282  128193
   1  1282  128190
   1  1283  128264
   1  1283  128278
   1  1284  128338
   1  1284  128359
   1  1284  128396
   1  1285  128403
   1  1285  128420
   1  1285  128442
   1  1285  128492
   1  1286  128511
   1  1286  128530
   1  1286  128555
   1  1286  128580
   1  1287  128617
   1  1287  128626
   1  1288  128740
   1  1289  128813
   1  1289  128811
   1  1289  128812
   1  1289  128884
   1  1290  128901
   1  1290  128947
   1  4441  444007
   1  4441  444031
   1  4441  444060
   1  4441  444090
   1  4445  444443
   1  4445  444446
   1  4445  444497
   1  4447  444663
   1  4447  444684
   1  4448  444718
   1  4449  444807
   1  4449  444809
   1  4449  444822
   1  4449  444877
   1  4450  444907
   1  4451  445014
   1  4451  445040
   1  4451  445094
   1  4452  445144
   1  4452  445141
   1  4452  445165
   1  4453  445224
   1  4454  445344
   1  4454  445364
   1  4455  445499
   1  4457  445685
   1  4457  445687
   1  4458  445739
   1  4461  446100
   1  4461  446098
   1  4462  446153
   1  4462  446175
   1  4463  446219
   1  4463  446262
   1  4464  446332
   1  4465  446402
   1  4465  446497
   1  4466  446506
   1  4466  446524
   1  4466  446555
   1  4467  446683
   1  4468  446711
   1  4468  446719
   1  4468  446761
   1  4468  446789
   1  4468  446786
   1  4469  446813
   1  4470  446969
   1  4591  459024
   1  4591  459086
   1  4592  459131
   1  4593  459242
   1  4594  459337
   1  4594  459338
   1  4594  459332
   1  4595  459428
   1  4595  459471
   1  4596  459513
   1  4596  459571
   1  4597  459680
   1  4598  459765
   1  4598  459786
   1  4598  459790
   1  4599  459834
   1  4599  459894
   1  4600  459906
   1  4600  459911
   1  4600  459914
   1  4600  459910
   1  4600  459989
   1  4601  460077
   1  4601  460074
   1  4601  460078
   1  4603  460219
   1  4603  460284
   1  4603  460289
   1  4604  460307
   1  4606  460522
   1  4607  460683
   1  4607  460684
   1  4608  460705
   1  4608  460728
   1  4608  460764
   1  4609  460809
   1  4609  460805
   1  4609  460828
   1  4609  460851
   1  4609  460886
   1  4610  460973
   1  4611  461064
   1  4612  461184
   1  4613  461280
   1  4614  461308
   1  4615  461411
   1  4615  461476
   1  4617  461616
   1  4617  461628
   1  4617  461671
   1  4618  461795
   1  4620  461961
   1  4621  462034
   1  4621  462069
   1  4621  462096
   1  4622  462143
   1  4622  462169
   1  4623  462232
   1  4624  462328
   1  4624  462354
   1  4625  462450
   1  4625  462488
   1  4626  462537
   1  4629  462842
   1  4631  463064
   1  4632  463135
